Minute,Fraction
6395,0.722576
6396,0.722576
6397,0.722576
6398,0.722576
6399,0.722576
6400,0.722576
6401,0.722576
6402,0.722576
6403,0.722576
6404,0.722576
17014,0.663676
17015,0.663676
17016,0.663676
17017,0.663676
21384,0.356295
21385,0.356295
21386,0.356295
21387,0.356295
21388,0.356295
21389,0.356295
21390,0.356295
21391,0.356295
21392,0.356295
22761,0.815051
22762,0.815051
22763,0.815051
22764,0.815051
22765,0.815051
22766,0.815051
27252,0.595514
27253,0.595514
27254,0.595514
27255,0.595514
30674,0.659479
30675,0.659479
30676,0.659479
30677,0.659479
32443,0.444428
32444,0.444428
32445,0.444428
32446,0.444428
32447,0.444428
32448,0.444428
32641,0.612301
32642,0.612301
32643,0.612301
32644,0.612301
32645,0.612301
32646,0.612301
32647,0.612301
38099,0.9078149999999999
38100,0.9078149999999999
45092,0.46121599999999996
45093,0.46121599999999996
45094,0.46121599999999996
45095,0.46121599999999996
45870,0.54848
45871,0.54848
45872,0.54848
45873,0.54848
45874,0.54848
45875,0.54848
45876,0.54848
45877,0.54848
45878,0.54848
46535,0.685962
46536,0.685962
46537,0.685962
49517,0.598119
49518,0.598119
49519,0.598119
49520,0.598119
49521,0.598119
49522,0.598119
49523,0.598119
63815,0.89725
63816,0.89725
63817,0.89725
63818,0.89725
63819,0.89725
72646,0.7017369999999999
72647,0.7017369999999999
72648,0.7017369999999999
72649,0.7017369999999999
72650,0.7017369999999999
72651,0.7017369999999999
72652,0.7017369999999999
73239,0.50275
73240,0.50275
73241,0.50275
90433,0.573661
90434,0.573661
90435,0.573661
90436,0.573661
90437,0.573661
99216,0.996237
99217,0.996237
99218,0.996237
110787,0.6238779999999999
110788,0.6238779999999999
110789,0.6238779999999999
110790,0.6238779999999999
110791,0.6238779999999999
110792,0.6238779999999999
110793,0.6238779999999999
113468,0.554559
113469,0.554559
113470,0.554559
113471,0.554559
113472,0.554559
113473,0.554559
113474,0.554559
113475,0.554559
113476,0.554559
113477,0.554559
120742,0.5810420000000001
120743,0.5810420000000001
120744,0.5810420000000001
120745,0.5810420000000001
120746,0.5810420000000001
120747,0.5810420000000001
120748,0.5810420000000001
130816,0.770188
130817,0.770188
130818,0.770188
130819,0.770188
130820,0.770188
130821,0.770188
137258,0.49421099999999996
137259,0.49421099999999996
137260,0.49421099999999996
137261,0.49421099999999996
137262,0.49421099999999996
137263,0.49421099999999996
137264,0.49421099999999996
138045,0.575253
138046,0.575253
138047,0.575253
138048,0.575253
161232,0.900724
161233,0.900724
161234,0.900724
161235,0.900724
170828,0.581331
170829,0.581331
170830,0.581331
171055,0.860203
171056,0.860203
171057,0.860203
171058,0.860203
171059,0.860203
171060,0.860203
180776,0.717366
180777,0.717366
180778,0.717366
180779,0.717366
180780,0.717366
180781,0.717366
185751,0.5878439999999999
185752,0.5878439999999999
185753,0.5878439999999999
185754,0.5878439999999999
185755,0.5878439999999999
185756,0.5878439999999999
188287,0.640666
188288,0.640666
188289,0.640666
188290,0.640666
188291,0.640666
188292,0.640666
188293,0.640666
188294,0.640666
189326,0.579595
189327,0.579595
189328,0.579595
189329,0.579595
189330,0.579595
189880,0.693198
189881,0.693198
189882,0.693198
189883,0.693198
189884,0.693198
189885,0.693198
193485,0.729088
193486,0.729088
193487,0.729088
193488,0.729088
194103,0.736614
194104,0.736614
194105,0.736614
194106,0.736614
194107,0.736614
194108,0.736614
194238,0.721708
194239,0.721708
194240,0.721708
194241,0.721708
194242,0.721708
194243,0.721708
194244,0.721708
201359,0.6342979999999999
201360,0.6342979999999999
201361,0.6342979999999999
201362,0.6342979999999999
207995,0.722576
207996,0.722576
207997,0.722576
207998,0.722576
207999,0.722576
208000,0.722576
208001,0.722576
208002,0.722576
208003,0.722576
208004,0.722576
218075,0.722576
218076,0.722576
218077,0.722576
218078,0.722576
218079,0.722576
218080,0.722576
218081,0.722576
218082,0.722576
218083,0.722576
218084,0.722576
223545,0.871346
223546,0.871346
223547,0.871346
223548,0.871346
223549,0.871346
223550,0.871346
230281,0.667149
230282,0.667149
230283,0.667149
230284,0.667149
233022,0.46657
233023,0.46657
233024,0.46657
233025,0.46657
248646,0.46439899999999995
248647,0.46439899999999995
248648,0.46439899999999995
248649,0.46439899999999995
248650,0.46439899999999995
248651,0.46439899999999995
251683,0.41664300000000004
251684,0.41664300000000004
251685,0.41664300000000004
251686,0.41664300000000004
251687,0.41664300000000004
251688,0.41664300000000004
251689,0.41664300000000004
251690,0.41664300000000004
251691,0.41664300000000004
